Training for 1 epochs (250065 iterations).
Accuracy 0.19768934531450577
Epoch 1
Iteration:  29200 	Average Loss:  1.255443026112867
Iteration:  29300 	Average Loss:  1.3075038402974957
Iteration:  29400 	Average Loss:  1.2534428729790121
Iteration:  29500 	Average Loss:  1.1486907199993635
Iteration:  29600 	Average Loss:  1.2228187013691025
Iteration:  29700 	Average Loss:  1.2272201893651806
Iteration:  29800 	Average Loss:  1.403507302509847
Iteration:  29900 	Average Loss:  1.1424551818220832
Iteration:  30000 	Average Loss:  1.3230754721163378
Iteration:  30100 	Average Loss:  1.2528633093891375
Iteration:  30200 	Average Loss:  1.5417601102023517
Iteration:  30300 	Average Loss:  1.2954316706261282
Iteration:  30400 	Average Loss:  1.1744543428525904
Iteration:  30500 	Average Loss:  1.265031801553876
Iteration:  30600 	Average Loss:  1.2798491388461255
Iteration:  30700 	Average Loss:  1.3097977990278247
Iteration:  30800 	Average Loss:  1.3646752265171753
Iteration:  30900 	Average Loss:  1.284727865689553
Iteration:  31000 	Average Loss:  1.4755936124524993
Iteration:  31100 	Average Loss:  1.2685460067993857
Iteration:  31200 	Average Loss:  1.2629365017269782
Iteration:  31300 	Average Loss:  1.4844241892584427
Iteration:  31400 	Average Loss:  1.300873524517507
Iteration:  31500 	Average Loss:  1.2056509909152282
Iteration:  31600 	Average Loss:  1.2304902455157236
Iteration:  31700 	Average Loss:  1.3173724430617775
Iteration:  31800 	Average Loss:  1.3272310456147374
Iteration:  31900 	Average Loss:  1.4675920843585206
Iteration:  32000 	Average Loss:  1.2580883556356284
Iteration:  32100 	Average Loss:  1.2872736503443714
Iteration:  32200 	Average Loss:  1.2033744987986348
Iteration:  32300 	Average Loss:  1.045307755887058
Iteration:  32400 	Average Loss:  1.317424223884886
Iteration:  32500 	Average Loss:  1.280235403546923
Iteration:  32600 	Average Loss:  1.3598682240546407
Iteration:  32700 	Average Loss:  1.301984062282311
Iteration:  32800 	Average Loss:  1.309272610126498
Iteration:  32900 	Average Loss:  1.3293159638759968
Iteration:  33000 	Average Loss:  1.1527240540950432
Iteration:  33100 	Average Loss:  1.1802372414602549
Iteration:  33200 	Average Loss:  1.3531383175356526
Iteration:  33300 	Average Loss:  1.1278406275122803
Iteration:  33400 	Average Loss:  1.3789765017970652
Iteration:  33500 	Average Loss:  1.2596240213077743
Iteration:  33600 	Average Loss:  1.1530143082436723
Iteration:  33700 	Average Loss:  1.3231817599548266
Iteration:  33800 	Average Loss:  1.3464392519557082
Iteration:  33900 	Average Loss:  1.2803324407764776
Iteration:  34000 	Average Loss:  1.2955478754870131
Iteration:  34100 	Average Loss:  1.3740265234812636
Iteration:  34200 	Average Loss:  1.2260406849681744
Iteration:  34300 	Average Loss:  1.3430330618090363
Iteration:  34400 	Average Loss:  1.2070164279754052
Iteration:  34500 	Average Loss:  1.2186663476418873
Iteration:  34600 	Average Loss:  1.1333005976177344
